    °„C	        No	    CH0	            CH1	            CH2	            CH3
23.946	45	0.1132603951	1807.2510842831	0.4863657049	-0.0316995401
24.035	46	0.1132963963	1802.5234223916	0.4862346939	-0.0324589033
24.134	47	0.1133363314	1797.7719782455	0.4861027292	-0.0332006236
24.220	48	0.1133706637	1792.9873641126	0.4859642080	-0.0339423438
24.307	49	0.1134057113	1788.1745867833	0.4858247331	-0.0346885940
24.386	50	0.1134374209	1783.3292653161	0.4856810859	-0.0354344866
24.474	51	0.1134729453	1778.4632908382	0.4855357698	-0.0361769221
24.558	52	0.1135066815	1773.5722824080	0.4853871158	-0.0369228147
24.643	53	0.1135407754	1768.6587434208	0.4852373889	-0.0376477264
24.717	54	0.1135703393	1763.7264289693	0.4850862315	-0.0383710884
24.791	55	0.1136001416	1758.7822233905	0.4849304250	-0.0390976691
24.874	56	0.1136335202	1753.8280042307	0.4847728303	-0.0398376012
24.957	57	0.1136667796	1748.8537579092	0.4846135667	-0.0405752683
25.032	58	0.1136971780	1743.8857700757	0.4844515612	-0.0413314129
25.117	59	0.1137310334	1738.9077686612	0.4842878869	-0.0420526291
25.191	60	0.1137609550	1733.9241346076	0.4841229012	-0.0427639510
25.267	61	0.1137913533	1728.9430039491	0.4839560082	-0.0434696700
25.342	62	0.1138215133	1723.9700093251	0.4837879231	-0.0441795614
25.414	63	0.1138504811	1718.9932596083	0.4836194803	-0.0448930290
25.490	64	0.1138812371	1714.0296527165	0.4834474613	-0.0455957678
25.564	65	0.1139108010	1709.0804403472	0.4832752039	-0.0463031558
25.644	66	0.1139428683	1704.1324796756	0.4831039001	-0.0470085172
25.710	67	0.1139693328	1699.2057978634	0.4829297354	-0.0477136402
25.786	68	0.1140000888	1694.2897554809	0.4827531864	-0.0484237700
25.860	69	0.1140296527	1689.3893593186	0.4825780679	-0.0491189986
25.936	70	0.1140602895	1684.5077386205	0.4824011613	-0.0498118430
26.008	71	0.1140892574	1679.6561586652	0.4822248508	-0.0505070716
26.075	72	0.1141160795	1674.8127147444	0.4820484210	-0.0511950285
26.149	73	0.1141457626	1669.9918013806	0.4818709184	-0.0518840582
26.227	74	0.1141773530	1665.1984253644	0.4816910316	-0.0525680812
26.293	75	0.1142036983	1660.4257023588	0.4815138865	-0.0532612832
26.370	76	0.1142344543	1655.6755099103	0.4813336421	-0.0539500746
26.440	77	0.1142625877	1650.9541065070	0.4811581660	-0.0546306404
26.515	78	0.1142929861	1646.2621179975	0.4809752989	-0.0553023848
26.580	79	0.1143189737	1641.5995443821	0.4807982731	-0.0559837852
26.660	80	0.1143512794	1636.9526169868	0.4806200552	-0.0566618476
26.723	81	0.1143765518	1632.3451180664	0.4804393339	-0.0573445593
26.805	82	0.1144095727	1627.7632789471	0.4802609968	-0.0580080782
26.869	83	0.1144352027	1623.2102288729	0.4800806332	-0.0586717164
26.936	84	0.1144619056	1618.6878453903	0.4799049187	-0.0594574248
27.007	85	0.1144906351	1614.1948768017	0.4797251510	-0.0602391994
27.077	86	0.1145186493	1609.7319489558	0.4795476484	-0.0609566010
27.151	87	0.1145482132	1605.3021910967	0.4793688345	-0.0615400113
27.223	88	0.1145770618	1600.9024739803	0.4791927623	-0.0620961226
27.287	89	0.1146028110	1596.5315459091	0.4790159749	-0.0627157726
27.360	90	0.1146321365	1592.1969170688	0.4788385915	-0.0633429327
27.426	91	0.1146588394	1587.8891997271	0.4786639499	-0.0640131273
27.497	92	0.1146870920	1583.6165299187	0.4784883546	-0.0646377840
27.560	93	0.1147126028	1579.3757783995	0.4783102559	-0.0652573148
27.637	94	0.1147434780	1575.1663193206	0.4781382369	-0.0658762494
27.696	95	0.1147670814	1570.9900302285	0.4779643105	-0.0665073434
27.763	96	0.1147940227	1566.8412784839	0.4777915763	-0.0671519081
27.826	97	0.1148195335	1562.7294518190	0.4776217030	-0.0677909891
27.894	98	0.1148468324	1558.6482917457	0.4774490879	-0.0684309047
27.965	99	0.1148750850	1554.5996758103	0.4772802876	-0.0690681976
28.028	100	0.1149003574	1550.5792230713	0.4771085070	-0.0697003645
28.101	101	0.1149298021	1546.5931920167	0.4769397066	-0.0703303856
28.162	102	0.1149542400	1542.6459635881	0.4767703102	-0.0709553999
