    °„C	        No	    CH0	            CH1	            CH2	            CH3
37.189	236	0.1185734343	1395.1784607874	0.4704386276	-0.3122555204
37.216	237	0.1185845207	1393.6714168591	0.4703709167	-0.3121863790
37.241	238	0.1185944151	1392.1693797212	0.4703043980	-0.3121156879
37.269	239	0.1186057400	1390.6773561643	0.4702385944	-0.3120416589
37.298	240	0.1186170649	1389.1740673288	0.4701715988	-0.3119676299
37.326	241	0.1186283898	1387.6782886790	0.4701018614	-0.3118903823
37.355	242	0.1186400723	1386.1906460637	0.4700362963	-0.3118123002
37.390	243	0.1186541390	1384.6967449604	0.4699683470	-0.3117351718
37.420	244	0.1186661791	1383.2028438570	0.4699017090	-0.3116567321
37.449	245	0.1186778616	1381.7258406714	0.4698339981	-0.3115800805
37.476	246	0.1186885904	1380.2388239049	0.4697640222	-0.3115043826
37.511	247	0.1187024187	1378.7586914753	0.4696986955	-0.3114292807
37.530	248	0.1187102865	1377.2766814993	0.4696316999	-0.3113482184
37.558	249	0.1187212538	1375.7971749185	0.4695650619	-0.3112691826
37.588	250	0.1187331747	1374.3214234305	0.4694978279	-0.3111913390
37.620	251	0.1187460493	1372.8444202450	0.4694273752	-0.3111115879
37.652	252	0.1187590431	1371.3749272451	0.4693622869	-0.3110323138
37.681	253	0.1187704872	1369.9123185821	0.4692951721	-0.3109634108
37.707	254	0.1187808584	1368.4434514310	0.4692272228	-0.3108900971
37.736	255	0.1187926602	1366.9802169192	0.4691578429	-0.3108084387
37.764	256	0.1188036274	1365.5201116514	0.4690927547	-0.3107321448
37.790	257	0.1188143563	1364.0618839301	0.4690255206	-0.3106597847
37.826	258	0.1188286614	1362.6011528135	0.4689582866	-0.3105845636
37.853	259	0.1188395094	1361.1491835802	0.4688917678	-0.3105148262
37.885	260	0.1188522648	1359.6928334053	0.4688214343	-0.3104467577
37.920	261	0.1188664507	1358.2446192649	0.4687564652	-0.3103796429
37.940	262	0.1188744377	1356.7970309733	0.4686891120	-0.3103131241
37.969	263	0.1188860010	1355.3488168328	0.4686231892	-0.3102448172
38.004	264	0.1188998293	1353.9049836341	0.4685554784	-0.3101766294
38.029	265	0.1189098429	1352.4649055281	0.4684900325	-0.3101083225
38.048	266	0.1189175915	1351.0242015734	0.4684216063	-0.3100394195
38.082	267	0.1189310622	1349.5828717698	0.4683548491	-0.3099670595
38.111	268	0.1189427447	1348.1528072448	0.4682890456	-0.3098994678
38.141	269	0.1189547848	1346.7202393246	0.4682184737	-0.3098275846
38.174	270	0.1189680170	1345.2882972531	0.4681546967	-0.3097630924
38.201	271	0.1189788651	1343.8632395186	0.4680873435	-0.3096957391
38.235	272	0.1189923357	1342.4356783888	0.4680197518	-0.3096244520
38.267	273	0.1190050911	1341.0062397126	0.4679534714	-0.3095576948
38.291	274	0.1190146279	1339.5861887685	0.4678811114	-0.3094903415
38.311	275	0.1190227341	1338.1711446149	0.4678201954	-0.3094233459
38.342	276	0.1190353703	1336.7523453684	0.4677530806	-0.3093565887
38.382	277	0.1190511059	1335.3354236684	0.4676869194	-0.3092918580
